Week,Total Doses Distributed
02/26/2016,≈ 146.4 million doses
02/19/2016,≈ 146.4 million doses
02/12/2016,≈ 146.3 million doses
02/05/2016,≈ 146.2 million doses
01/29/2016,≈ 146.0 million doses
01/22/2016,≈ 145.8 million doses
01/15/2016,≈ 145.6 million doses
01/08/2016,≈ 145.4 million doses
01/01/2016,≈ 144.9 million doses
12/11/2015,≈ 143.3 million doses
12/04/2015,≈ 142.0 million doses
11/27/2015,≈ 140.5 million doses
11/13/2015,≈ 132.7 million doses
11/6/2015,≈ 127.9 million doses
10/30/2015,≈ 123.7 million doses
10/23/2015,≈ 118.2 million doses
10/16/2015,≈ 113.04 million doses
10/09/2015,≈ 109.4 million doses
10/02/2015,≈ 98.5 million doses
9/25/2015,≈ 92.3 million doses
9/18/2015,≈ 76.1 million doses
9/11/2015,≈ 65.1 million doses
9/04/2015,≈ 40.7 million doses
