Week,Total Doses Distributed
2/6/2015,≈ 147.8 million doses
1/30/2015,≈ 147.7 million doses
1/23/2015,≈ 147.6 million doses
1/16/2015,≈ 147.4 million doses
1/9/2015,≈ 147.1 million doses
12/5/2014,≈ 145.4 million doses
11/28/2014,≈ 144.5 million doses
11/14/2014,≈ 139.7 million doses
11/7/2014,≈ 135.9 million doses
10/31/2014,≈ 132.2 million doses
10/17/2014,≈ 117.8 million doses
10/10/2014,≈ 112.3 million doses
10/3/2014,≈ 98.9 million doses
9/26/2014,≈ 87.9 million doses
9/19/2014,≈ 62.1 million doses
9/12/2014,≈ 54.8 million doses
9/5/2014,≈ 40.8 million doses
8/29/2014,≈ 33.8 million doses
