Week,Total Doses Distributed
02/03/12,≈ 132.1 million doses
01/20/12,≈ 132.0 million doses
12/30/11,≈ 131.2 million doses
12/16/11,≈ 130.6 million doses
12/9/11,≈ 130.1 million doses
11/25/11,≈ 129.2 million doses
11/18/11,≈ 127.9 million doses
11/11/11,≈ 126.9 million doses
10/28/11,≈ 124.9 million doses
10/21/11,≈ 122.9 million doses
10/07/11,≈ 115.5 million doses
9/30/11,≈ 110.4 million doses
9/23/11,≈ 104.8 million doses
9/16/11,≈ 97.7 million doses
9/09/11,≈ 85.9 million doses
9/02/11,≈ 67.9 million doses
8/26/11,≈ 55.1 million doses
≈ = approximate,≈ = approximate
