Week,Total Doses Distributed
2/28/2014,≈ 134.5 million doses
2/14/2014,≈ 134.4 million doses
2/7/2014,≈ 134.2 million doses
1/31/2014,≈ 134.1 million doses
1/24/2014,≈ 133.9 million doses
1/17/2014,≈ 133.4 million doses
1/3/2014,≈ 131.2 million doses
12/13/2013,≈ 130.2 million doses
12/6/2013,≈ 129.8 million doses
11/29/2013,≈ 128.6 million doses
11/15/2013,≈ 126.3 million doses
11/8/2013,≈ 123.6 million doses
11/1/2013,≈ 118.3 million doses
10/25/2013,≈ 113.9 million doses
10/18/2013,≈ 110.5 million doses
9/20/2013,≈ 73.0 million doses
9/13/2013,≈ 61.8 million doses
9/6/2013,≈ 50.2 million doses
8/30/2013,≈ 40.2 million doses
≈ = approximate,≈ = approximate
